velocity  yaw_rate
0.254 -1.157
0.393 -0.307
0.313 0.055
0.580 -1.645
0.628 -0.143
0.304 0.539
0.350 0.908
0.264 -0.283
0.509 0.045
0.536 0.822
0.414 -0.132
0.248 0.516
0.234 1.327
0.586 0.319
0.476 -1.331
0.325 -0.008
0.526 -0.282
0.482 -0.071
0.358 1.098
0.428 0.842
0.364 1.064
0.435 -1.084
0.364 -0.508
0.370 0.089
0.342 -0.408
0.369 -1.311
0.315 -0.787
0.323 -0.734
0.552 -0.859
0.377 -0.422
0.233 0.812
0.238 -0.735
0.409 0.735
0.383 0.720
0.373 -1.527
0.347 -0.542
0.472 -0.067
0.584 -2.185
0.334 0.583
0.433 -0.533
0.450 -1.249
0.393 -1.688
0.246 -0.339
0.605 0.841
0.407 0.552
0.328 0.451
0.404 0.383
0.339 -2.422
0.542 -0.175
0.496 -0.460
0.378 0.754
0.389 0.948
0.288 0.179
0.410 -0.097
0.429 0.685
0.414 -1.090
0.420 0.844
0.413 -0.022
0.336 0.307
0.363 0.281
0.237 0.548
0.469 0.752
0.429 -1.262
0.351 0.296
0.386 -1.089
0.276 0.266
0.538 -0.835
0.285 1.771
0.394 -0.402
0.293 -1.112
0.448 -0.871
0.345 1.234
0.471 0.232
0.357 -0.176
0.213 -0.639
0.385 -0.238
0.430 -0.441
0.435 -0.363
0.355 -2.102
0.194 0.231
0.509 0.171
0.358 0.548
0.499 -0.103
0.336 1.006
0.364 -0.312
0.357 -0.262
0.453 0.006
0.566 0.526
0.215 0.454
0.444 0.763
0.360 -0.946
0.201 -0.143
0.568 -0.594
0.248 -1.107
0.280 -2.289
0.471 -0.002
0.350 -0.015
0.515 -3.216
0.428 0.099
0.258 0.703
0.538 -0.256
0.258 0.468
0.382 -0.473
0.335 0.397
0.475 0.038
0.323 -0.911
0.271 -0.140
0.452 -0.559
0.301 0.885
0.410 -1.032
0.418 0.456
0.378 1.373
0.382 -0.674
0.577 -0.643
0.400 1.459
0.371 -0.353
0.378 -0.576
0.308 -0.851
0.461 -1.485
0.275 -1.087
0.278 0.280
0.424 -0.833
0.459 -0.373
0.344 0.302
0.477 0.735
0.318 2.341
0.165 1.006
0.251 -1.056
0.402 0.453
0.359 2.468
0.412 -0.979
0.283 -0.748
0.279 0.251
0.517 1.553
0.414 0.266
0.391 -1.020
0.465 0.541
0.262 -0.167
0.489 0.442
0.327 -0.189
0.103 0.321
0.257 1.653
0.400 -0.692
0.442 1.335
0.251 -0.159
0.472 -0.197
0.253 1.234
0.412 1.325
0.296 -0.354
0.328 -0.676
0.343 0.753
0.366 -1.963
0.242 0.253
0.360 1.530
0.298 0.846
0.421 -0.779
0.343 1.585
0.406 1.037
0.450 -0.727
0.358 -1.298
0.382 -0.431
0.338 0.395
0.447 -0.115
0.399 0.385
0.391 1.907
0.344 0.055
0.303 -1.128
0.405 -0.710
0.454 0.309
0.274 -0.791
0.168 -1.284
0.375 -0.268
0.236 0.020
0.319 -0.853
0.440 -2.181
0.339 -0.968
0.541 -0.458
0.356 -1.042
0.497 -0.673
0.126 -0.913
0.358 1.343
0.506 0.609
0.437 -1.036
0.365 1.250
0.420 -0.074
0.305 -1.328
0.391 1.698
0.354 -1.517
0.452 -0.128
0.472 -0.155
0.549 0.156
0.267 2.032
0.450 0.663
0.267 -1.910
0.508 -2.128
0.368 -0.006
0.279 0.666
0.389 0.849
0.466 0.224
0.429 0.154
0.397 0.241
0.395 1.393
0.299 -0.287
0.375 -1.170
0.515 -0.688
0.220 -0.418
0.628 -0.250
0.199 -1.013
0.413 -0.694
0.508 0.923
0.395 -1.694
0.374 -0.463
0.324 -0.429
0.333 -1.769
0.435 -0.532
0.479 0.073
0.319 -0.937
0.362 0.410
0.308 0.617
0.402 0.845
0.345 -1.227
0.256 -0.146
0.517 1.549
0.398 -0.688
0.391 -0.274
0.283 -0.211
0.451 -0.312
0.296 -0.392
0.258 0.944
0.273 -0.152
0.424 1.326
0.456 -0.959
0.272 -0.202
0.263 -1.718
0.294 1.609
0.236 2.249
0.443 1.695
0.272 0.022
0.457 1.186
0.333 1.508
0.293 0.880
0.382 -0.848
0.563 1.427
0.321 -0.462
0.352 1.490
0.306 0.548
0.536 0.985
0.159 -1.764
0.119 -1.061
0.279 -1.099
0.472 1.182
0.497 -1.356
0.372 -0.452
0.368 -0.281
0.266 -0.352
0.311 0.064
0.546 -0.934
0.397 -0.250
0.494 2.271
0.362 -0.795
0.388 1.178
0.405 0.357
0.466 -0.734
0.267 -1.070
0.368 -0.781
0.413 -0.631
0.302 -0.390
0.285 0.535
0.480 0.138
0.368 -2.098
0.425 2.136
0.345 -0.071
0.526 0.548
0.362 -1.017
0.462 -0.467
0.522 0.182
0.445 -0.220
0.477 0.148
0.495 -1.192
0.226 -0.252
0.344 -0.059
0.092 -0.372
0.286 0.046
0.358 -1.032
0.453 -0.218
0.306 0.715
0.211 -0.257
0.349 -0.590
0.344 -0.850
0.433 0.657
0.404 -1.775
0.416 -0.516
0.436 -1.132
0.363 -1.131
0.268 -1.312
0.297 1.187
0.288 0.029
0.311 -0.308
0.169 -1.810
0.295 -0.501
0.528 -1.193
0.474 1.025
0.392 1.564
0.375 -1.329
0.354 -0.039
0.303 -0.581
0.356 -0.283
0.201 1.079
0.631 0.582
0.474 0.224
0.381 -1.005
0.368 -0.699
0.351 -0.270
0.445 0.188
0.277 -1.262
0.358 1.028
0.418 1.573
0.215 -0.725
0.349 0.195
0.336 0.321
0.249 -0.788
0.388 1.510
0.405 0.850
0.388 0.579
0.369 -0.622
0.320 0.071
0.444 -0.174
0.416 -1.244
0.340 -0.757
0.383 0.859
0.646 1.573
0.287 0.666
0.004 0.710
0.245 -1.124
0.447 -0.038
0.427 -0.491
0.383 0.560
0.449 -0.499
0.346 -0.150
0.595 1.592
0.344 0.386
0.576 -0.352
0.470 0.710
0.371 -0.088
0.445 0.676
0.299 -0.114
0.388 0.519
0.381 0.412
0.287 0.317
0.430 0.102
0.360 1.790
0.276 -1.738
0.407 1.165
0.187 1.016
0.420 -2.085
0.322 -1.916
0.243 -0.380
0.543 1.227
0.217 0.230
0.249 1.082
0.450 -0.540
0.460 0.196
0.351 -0.686
0.446 -0.002
0.358 -0.514
0.510 -1.252
0.501 1.186
0.372 -0.931
0.304 -2.108
0.385 0.313
0.190 2.161
0.282 -0.420
0.302 1.068
0.287 0.271
0.506 -0.137
0.396 0.344
0.349 1.387
0.359 -0.227
0.439 1.759
0.372 -0.361
0.339 -0.034
0.459 0.954
0.449 -0.670
0.472 0.564
0.198 -0.197
0.460 -0.204
0.649 0.532
0.334 -2.159
0.499 -0.729
0.475 0.377
0.362 0.638
0.342 -0.179
0.206 -1.791
0.404 0.518
0.288 -1.790
0.423 1.440
0.438 0.044
0.379 -0.027
0.293 -1.447
0.498 1.204
0.460 -0.688
0.560 -0.002
0.400 0.440
0.329 0.304
0.396 -0.910
0.268 -0.650
0.450 -2.907
0.380 -0.480
0.393 0.182
0.442 -1.151
0.521 -1.440
0.284 0.618
0.367 -0.048
0.497 -1.357
0.326 1.223
0.232 0.074
0.382 -0.596
0.462 -1.432
0.329 -1.186
0.538 0.286
0.341 -0.591
0.339 -0.718
0.148 -1.790
0.425 -1.659
0.326 0.716
0.343 -2.066
0.490 -0.425
0.299 0.335
0.302 0.123
0.358 -0.655
0.307 -0.895
0.345 -0.261
0.482 -0.877
0.460 -1.530
0.462 -1.814
0.414 1.620
0.461 -1.339
0.266 -0.291
0.407 1.375
0.311 0.610
0.348 0.113
0.469 0.553
0.365 -2.209
0.474 0.214
0.419 -1.404
0.251 -0.808
0.483 -0.350
0.484 0.564
0.389 0.299
0.453 0.950
0.426 0.305
0.383 -0.818
0.297 -1.720
0.409 0.157
0.250 -1.652
0.378 -0.494
0.490 0.543
0.423 -1.135
0.370 -1.103
0.126 0.766
0.366 1.113
0.439 -0.876
0.371 -0.235
0.391 -0.297
0.362 0.548
0.302 0.565
0.460 -0.194
0.250 0.467
0.412 -1.988
0.379 0.381
0.357 0.119
0.537 -0.080
0.265 -0.168
0.394 0.308
0.385 0.196
0.380 0.764
0.312 -0.112
0.207 0.245
0.492 -0.902
0.132 1.024
0.379 -0.378
0.256 -0.785
0.375 0.335
0.314 -0.246
0.506 0.620
0.394 -0.634
0.380 0.845
0.220 -0.155
0.315 -0.377
0.327 -0.140
0.477 0.912
0.342 -1.717
0.507 -0.223
0.328 -1.816
0.358 -0.195
0.469 0.065
0.471 -2.346
0.302 -0.938
0.270 -0.679
0.454 -1.475
0.447 0.266
0.318 -1.020
0.341 0.333
0.355 0.391
0.331 0.082
0.213 -0.239
0.409 0.688
0.459 -0.312
0.457 -0.428
0.416 -1.516
0.460 0.290
0.507 0.100
0.527 -0.078
0.317 -1.181
0.374 -2.312
0.415 -1.816
0.359 -1.101
0.340 -3.079
0.490 0.154
0.275 1.880
0.243 -0.990
0.298 1.173
0.496 -0.315
0.457 -0.960
0.499 0.560
0.199 0.215
0.317 0.786
0.489 1.305
0.235 -1.294
0.426 -0.862
0.526 -0.028
0.380 -1.419
0.367 -0.668
0.282 -0.461
0.230 0.126
0.290 0.669
0.250 -0.256
0.416 -0.697
0.482 0.547
0.451 -0.745
0.372 0.141
0.406 -0.678
0.288 -1.077
0.459 -0.072
0.421 0.140
0.410 -2.370
0.298 -0.069
0.264 1.682
0.312 -0.733
0.347 0.279
0.358 -0.862
0.379 -1.543
0.281 1.325
0.334 1.164
0.420 -0.743
0.475 -1.777
0.227 -0.180
0.295 -1.135
0.330 0.870
0.415 0.115
0.382 -0.293
0.375 0.590
0.543 -0.764
0.342 -0.281
0.410 -0.386
0.358 -1.071
0.413 0.110
0.477 -0.948
0.397 -1.821
0.466 -2.152
0.295 -0.760
0.408 -0.005
0.369 1.510
0.278 1.134
0.522 -0.685
0.314 1.590
0.415 1.346
0.274 -2.428
0.367 -1.032
0.293 -0.522
0.393 -0.411
0.511 0.455
0.340 0.728
0.401 1.955
0.432 -0.279
0.463 -0.642
0.389 0.509
0.397 0.873
0.206 0.749
0.264 0.715
0.227 0.463
0.336 -0.662
0.297 1.062
0.314 1.143
0.477 0.880
0.501 -2.176
0.127 -1.468
0.254 1.216
0.440 -0.462
0.323 0.463
0.406 0.231
0.353 -1.570
0.492 -1.324
0.309 0.237
0.421 0.691
0.248 0.234
0.356 -1.556
0.303 0.221
0.294 -0.674
0.471 -1.159
0.543 1.523
0.374 0.803
0.493 0.531
0.353 2.557
0.376 0.863
0.378 0.896
0.412 0.328
0.449 -0.594
0.281 -0.487
0.398 1.734
0.448 0.546
0.566 0.606
0.302 0.502
0.363 -2.081
0.420 1.012
0.364 -0.151
0.468 -1.284
0.306 -0.993
0.525 0.246
0.540 0.531
0.295 -0.631
0.533 -0.429
0.442 -0.032
0.324 0.897
0.317 0.365
0.369 0.607
0.511 1.030
0.307 -1.160
0.450 0.336
0.276 -1.136
0.440 -0.818
0.232 1.066
0.379 -1.354
0.299 0.643
0.450 -0.193
0.262 1.226
0.337 1.011
0.512 -0.411
0.364 0.630
0.375 -0.359
0.429 0.556
0.372 -0.838
0.452 -0.161
0.449 -2.334
0.459 -1.468
0.264 -1.739
0.387 -1.328
0.509 -0.868
0.478 0.518
0.275 -0.219
0.289 -1.679
0.407 -0.036
0.325 0.006
0.371 -2.498
0.434 -0.107
0.443 -0.692
0.219 -0.151
0.475 -0.935
0.314 -0.495
0.273 -0.552
0.269 -0.102
0.239 1.928
0.400 -0.330
0.362 1.266
0.236 -0.183
0.317 0.149
0.392 -0.066
0.419 -1.399
0.511 -1.226
0.425 0.468
0.369 -0.205
0.107 0.442
0.570 1.206
0.393 -1.657
0.287 0.041
0.410 1.211
0.399 -0.122
0.336 0.305
0.549 -0.933
0.472 -0.153
0.325 -0.543
0.453 1.398
0.247 -0.768
0.381 -0.907
0.454 -0.255
0.497 0.809
0.433 -1.339
0.119 0.138
0.363 1.731
0.312 1.633
0.202 0.061
0.334 0.598
0.406 -0.310
0.314 -1.399
0.381 -0.326
0.427 1.050
0.270 -1.251
0.211 0.278
0.443 -1.599
0.225 0.276
0.296 -1.075
0.218 0.619
0.441 0.718
0.370 -1.087
0.426 0.432
0.442 0.641
0.416 -0.950
0.402 1.326
0.286 -0.294
0.125 -0.060
0.460 -0.485
0.374 -0.829
0.488 0.756
0.364 0.686
0.325 2.031
0.350 -1.081
0.409 2.154
0.324 -0.483
0.356 -0.268
0.395 -0.209
0.477 1.484
0.358 -0.486
0.391 0.713
0.307 0.187
0.113 0.854
0.481 0.440
0.381 1.123
0.354 0.121
0.352 -0.470
0.614 0.287
0.180 -0.866
0.346 -0.405
0.341 1.198
0.271 1.660
0.416 -0.087
0.357 -2.366
0.332 -0.292
0.291 -0.299
0.388 -0.007
0.439 0.401
0.275 -0.012
0.387 -0.193
0.402 -0.170
0.416 -1.011
0.458 -0.580
0.288 0.046
0.410 1.687
0.387 0.973
0.373 0.515
0.337 -1.278
0.307 0.261
0.197 -0.774
0.372 0.765
0.362 0.994
0.456 0.361
0.249 -0.800
0.461 -0.052
0.575 0.705
0.358 -2.169
0.257 0.742
0.390 -0.935
0.288 -0.158
0.354 -0.721
0.322 -0.642
0.326 0.132
0.300 -0.017
0.427 -0.702
0.323 0.085
0.518 1.042
0.528 -1.271
0.326 0.916
0.551 -0.190
0.348 -1.052
0.300 -0.038
0.487 0.599
0.269 -1.346
0.384 0.126
0.409 1.332
0.212 0.456
0.409 -1.516
0.321 -0.104
0.297 -1.119
0.309 -0.436
0.261 -0.472
0.521 -0.065
0.216 1.818
0.330 0.153
0.276 0.379
0.407 -0.041
0.379 -0.851
0.471 1.398
0.263 -0.005
0.358 0.120
0.363 0.717
0.438 -0.000
0.426 0.479
0.406 -0.316
0.398 -1.424
0.336 1.607
0.183 0.057
0.345 -0.812
0.368 0.013
0.381 -1.831
0.400 0.107
0.460 2.404
0.440 -0.252
0.359 1.480
0.332 1.609
0.333 0.212
0.471 -0.569
