x            y      theta
-943.0669 -115.5970 1.4636
-943.1340 -115.6424 1.4477
-943.2391 -115.6708 1.5844
-943.1394 -115.8409 1.5692
-943.1757 -115.8959 1.4162
-943.0829 -115.8142 1.4260
-943.1883 -115.8234 1.5523
-943.2602 -115.8108 1.4046
-943.2938 -115.6153 1.5261
-943.2261 -115.5564 1.6673
-942.9803 -115.5124 1.5564
-943.2839 -116.0084 1.2823
-943.3421 -115.7845 1.4711
-943.1167 -115.6398 1.5006
-943.0330 -115.7330 1.5293
-943.1321 -115.7514 1.4481
-943.2335 -115.6057 1.4954
-943.0918 -115.6532 1.4464
-943.1512 -115.6167 1.4251
-943.1239 -115.7482 1.3945
-943.2691 -115.8214 1.6225
-943.2498 -115.7642 1.6016
-943.0568 -115.8388 1.2950
-943.1272 -115.6553 1.3774
-943.0948 -115.7919 1.4338
-943.1624 -115.7602 1.5029
-943.2710 -115.7281 1.4432
-943.0285 -115.5951 1.3923
-943.1767 -115.7530 1.4679
-943.2005 -115.7598 1.4625
-943.1143 -115.9064 1.4896
-943.2004 -115.6170 1.3642
-943.1323 -115.9248 1.5363
-943.1627 -115.7991 1.2969
-943.3189 -115.6940 1.2755
-943.0038 -115.6803 1.4349
-943.0943 -115.7400 1.3283
-943.0649 -115.7539 1.5022
-943.2271 -115.7590 1.5210
-943.1607 -115.6384 1.3800
-943.0614 -115.6443 1.4896
-943.1471 -115.7240 1.4724
-943.1245 -115.8567 1.3448
-942.9815 -115.8735 1.2774
-942.9937 -116.0368 1.5406
-943.0668 -115.5942 1.4573
-942.9844 -115.8204 1.3970
-943.2109 -115.5993 1.5169
-943.1163 -115.9597 1.2853
-943.0536 -115.7797 1.4396
-943.0433 -115.6554 1.5754
-943.0971 -115.7089 1.2737
-943.1994 -115.7447 1.3043
-943.1561 -115.7308 1.3397
-943.2601 -115.7142 1.7051
-943.2110 -115.6222 1.4391
-943.1406 -115.6974 1.3921
-943.0393 -115.9239 1.5694
-943.1023 -115.6710 1.3438
-943.0867 -115.7950 1.4163
-943.0685 -115.5820 1.4512
-943.1568 -115.7195 1.4899
-943.0975 -115.7950 1.3368
-943.1129 -115.7147 1.3340
-943.0759 -115.8295 1.4891
-942.9590 -115.7360 1.3404
-943.1186 -115.6776 1.4731
-943.0946 -115.7086 1.6572
-943.0579 -115.6949 1.3363
-943.1114 -115.7547 1.6760
-943.0992 -115.6267 1.2852
-943.1397 -115.7615 1.4406
-943.1731 -115.6925 1.4819
-943.0309 -115.5133 1.5167
-943.0944 -115.6925 1.5537
-943.1180 -115.7509 1.3017
-943.0662 -115.8349 1.5161
-943.2478 -115.7273 1.4461
-943.0173 -115.7112 1.3902
-943.0840 -115.8791 1.4303
-943.2755 -115.4774 1.4198
-943.0198 -115.9044 1.5212
-943.1272 -115.8183 1.5102
-942.9606 -115.7561 1.4613
-943.3834 -115.5277 1.3606
-943.1168 -115.8311 1.6070
-943.1139 -115.6376 1.2710
-943.1273 -115.8077 1.5156
-942.9413 -115.7060 1.2937
-943.0592 -115.8187 1.4213
-943.0881 -115.5265 1.3799
-943.2608 -115.7458 1.4466
-943.2054 -115.7213 1.4701
-943.1074 -115.5846 1.4801
-943.0034 -115.7832 1.3720
-943.1866 -115.5711 1.3301
-943.2048 -115.6828 1.6810
-942.8814 -115.6989 1.6317
-943.0134 -115.8171 1.4825
-943.0592 -115.5635 1.4745
-943.2910 -115.6558 1.5031
-943.1761 -115.6452 1.4764
-943.1365 -115.7468 1.4459
-942.9011 -115.5996 1.4906
-943.2690 -115.6858 1.5991
-943.2475 -115.5721 1.4782
-943.0761 -115.7954 1.3729
-943.1081 -115.7224 1.3675
-942.9658 -115.7706 1.3764
-942.9089 -115.8669 1.3816
-943.0775 -115.6974 1.3567
-943.0004 -115.6680 1.4244
-943.0333 -115.5766 1.4819
-943.1611 -115.8360 1.3443
-943.1762 -115.6742 1.3986
-943.1522 -115.6625 1.5018
-943.1327 -115.7116 1.3616
-943.1040 -115.5768 1.5523
-943.0020 -115.6874 1.4848
-942.9148 -115.7746 1.5708
-942.9908 -115.7250 1.3797
-943.0857 -115.7937 1.5850
-942.9540 -115.7536 1.5062
-943.2314 -115.8344 1.5043
-943.1318 -115.7159 1.2586
-943.1810 -115.8156 1.4318
-943.2982 -115.8554 1.5631
-943.0682 -115.6614 1.5035
-942.9784 -115.6341 1.6421
-943.1012 -115.7237 1.3939
-943.4766 -115.5667 1.5079
-943.0695 -115.7518 1.3582
-943.1272 -115.6273 1.6066
-943.0573 -115.5559 1.6230
-943.1330 -115.7840 1.3396
-943.0984 -115.9202 1.5052
-942.8820 -115.7072 1.5929
-943.0930 -115.7350 1.3903
-943.2653 -115.7229 1.5536
-943.0318 -115.7269 1.3405
-942.8736 -115.8470 1.4723
-943.1534 -115.7180 1.3660
-943.0006 -115.6631 1.5463
-943.0390 -115.7519 1.5979
-943.2246 -115.6731 1.5714
-942.9984 -115.8079 1.4451
-943.1878 -115.5863 1.3800
-943.1515 -115.9278 1.4647
-943.1392 -115.7374 1.3959
-943.0482 -115.9040 1.2621
-943.0995 -115.7604 1.4854
-943.1334 -115.7343 1.2295
-943.1251 -115.8052 1.5041
-943.2896 -115.7115 1.4706
-943.1161 -115.7785 1.3712
-943.2988 -115.7395 1.5325
-943.2992 -115.7526 1.4986
-943.0148 -115.7722 1.3515
-943.1175 -115.7355 1.4027
-943.1147 -115.7087 1.2731
-943.1357 -115.7989 1.4587
-943.0304 -115.6838 1.5499
-943.0396 -115.6651 1.5973
-943.0497 -115.6788 1.5979
-943.1105 -115.6766 1.4262
-943.0418 -115.6739 1.4528
-943.1845 -115.8327 1.4899
-943.3244 -115.6496 1.2302
-943.0760 -115.7060 1.4661
-943.0737 -115.7541 1.5582
-942.9069 -115.6839 1.4005
-943.0080 -115.8223 1.4308
-943.0746 -115.7262 1.4810
-943.1374 -115.7565 1.5481
-943.0993 -115.9112 1.3448
-943.2015 -115.7428 1.4098
-943.2331 -115.6561 1.3186
-942.9107 -115.5612 1.3339
-943.1853 -115.7997 1.5905
-943.0196 -115.7556 1.4402
-943.0697 -115.7953 1.6696
-943.2031 -115.7448 1.5597
-942.9885 -115.6992 1.4237
-943.1621 -115.6262 1.6049
-943.0447 -115.8843 1.4832
-943.1895 -115.7740 1.4747
-943.1319 -115.8738 1.4059
-943.1306 -115.7263 1.6121
-943.2129 -115.6000 1.3711
-943.1712 -115.5745 1.3544
-943.1017 -115.7807 1.3569
-943.1927 -115.7305 1.6287
-943.0417 -115.7081 1.5400
-943.0331 -115.6641 1.3834
-943.2312 -115.5950 1.4084
-943.1106 -115.8166 1.5260
-943.1701 -115.8482 1.3934
-943.0410 -115.8582 1.4725
-943.1214 -115.6280 1.2950
-943.0085 -115.6427 1.5978
-943.0999 -115.5711 1.4829
-942.9647 -115.7034 1.4213
-942.9765 -115.7092 1.5181
-943.0656 -115.7837 1.3903
-943.1947 -115.7004 1.4579
-943.3362 -115.7701 1.4303
-943.1959 -115.9495 1.4560
-943.0029 -115.7825 1.4187
-943.0411 -115.5390 1.3778
-943.2545 -115.8701 1.2798
-943.2015 -115.6976 1.5502
-943.1472 -115.6732 1.4009
-942.9920 -115.9119 1.4543
-943.0078 -115.7577 1.3952
-943.1868 -115.5694 1.4515
-943.2813 -115.6944 1.5607
-943.1037 -115.7047 1.5332
-942.8829 -115.6254 1.4341
-943.1076 -115.7302 1.3516
-943.0707 -115.7607 1.5563
-943.1908 -115.6038 1.3539
-943.0424 -115.6966 1.3900
-943.2397 -115.5641 1.5045
-943.2933 -115.7085 1.4730
-943.1093 -115.7913 1.4875
-943.0824 -115.9572 1.5876
-943.0213 -115.9190 1.4625
-943.0960 -115.7725 1.5603
-943.2972 -115.9082 1.4251
-943.0986 -115.6920 1.4653
-943.1756 -115.5993 1.6242
-943.2868 -115.7680 1.4920
-943.1871 -115.7288 1.6031
-942.9218 -115.6548 1.2597
-943.0842 -115.5928 1.2134
-942.9983 -115.7705 1.4289
-943.2233 -115.6999 1.4758
-943.0366 -115.6925 1.6158
-943.2066 -115.6472 1.4486
-943.1535 -115.6888 1.4674
-943.0922 -115.8822 1.6143
-943.0237 -115.8085 1.4538
-943.1203 -115.7454 1.6148
-943.2166 -115.7840 1.4077
-943.1396 -115.7983 1.4899
-943.0308 -115.8172 1.6211
-943.1350 -115.8014 1.3277
-942.9646 -115.8484 1.4856
-943.0464 -115.6500 1.4255
-942.9491 -115.8052 1.4951
-942.9650 -115.6713 1.5057
-943.1827 -115.5254 1.6202
-943.2326 -115.8725 1.3684
-943.0797 -115.4867 1.4592
-943.0892 -115.6254 1.4918
-943.2059 -115.7824 1.3214
-942.9642 -115.6919 1.3296
-943.0910 -115.6785 1.3745
-943.0522 -115.6816 1.6402
-943.1463 -115.5914 1.4035
-943.2627 -115.8008 1.5174
-943.2424 -115.8651 1.2995
-943.0517 -115.8509 1.4767
-943.1493 -115.7462 1.4466
-943.1140 -115.6181 1.5554
-943.2646 -115.8125 1.5328
-943.0529 -115.9231 1.3839
-943.1312 -115.6499 1.6764
-943.1887 -115.7252 1.3875
-943.0934 -115.6420 1.4069
-943.1061 -115.6582 1.3280
-943.3562 -115.7293 1.3514
-943.2253 -115.6275 1.3841
-942.9892 -115.8702 1.3863
-943.1651 -115.5948 1.5522
-943.0010 -115.6993 1.4410
-943.1032 -115.8711 1.5530
-943.2475 -115.8394 1.4107
-942.9656 -115.7656 1.6114
-943.0914 -115.6930 1.4118
-943.1301 -115.7280 1.2713
-943.1089 -115.7513 1.4802
-942.9078 -115.5507 1.4341
-943.1676 -115.6700 1.5399
-943.0040 -115.6111 1.3855
-943.0860 -115.8772 1.1433
-942.9592 -115.7475 1.4622
-943.0771 -115.7139 1.5168
-943.0904 -115.6325 1.4709
-943.1996 -115.7580 1.5583
-943.0030 -115.5473 1.4654
-943.0188 -115.8028 1.4644
-943.1069 -115.6508 1.4735
-943.2825 -115.7407 1.3151
-943.0863 -115.6857 1.2405
-942.9889 -115.7622 1.4490
-943.1289 -115.7918 1.5272
-943.0056 -115.8532 1.5674
-943.0707 -115.9059 1.4366
-943.0705 -115.8173 1.5457
-943.0359 -115.6835 1.4961
-942.9887 -115.8662 1.4326
-943.0747 -115.7295 1.5560
-943.1201 -115.4971 1.4736
-943.2184 -115.6489 1.4859
-943.1447 -115.6831 1.3817
-943.2463 -115.6650 1.2971
-943.0471 -115.6815 1.4103
-943.3990 -115.7869 1.4676
-943.0867 -115.7673 1.3370
-943.0943 -115.6848 1.5070
-943.1884 -115.8940 1.6463
-943.1172 -115.6716 1.5565
-943.1156 -115.8149 1.5263
-943.2832 -115.6771 1.6706
-943.1053 -115.7936 1.4436
-943.0296 -115.5518 1.4092
-943.0273 -115.8197 1.2967
-942.9436 -115.5503 1.3547
-943.0280 -115.7481 1.6313
-943.0555 -115.6069 1.5640
-943.0135 -115.7184 1.3747
-943.0084 -115.5197 1.4674
-943.0629 -115.6187 1.5443
-943.1425 -115.8257 1.3487
-943.2295 -115.6962 1.6378
-943.0601 -115.6593 1.3120
-943.2549 -115.8397 1.3167
-943.2782 -115.8564 1.4472
-943.1757 -115.6860 1.4531
-943.0864 -115.8662 1.3087
-943.1514 -115.8106 1.5687
-943.0909 -115.6903 1.4285
-943.0068 -115.5987 1.4759
-943.2288 -115.8727 1.5400
-943.0628 -115.7250 1.5176
-943.0508 -115.7879 1.4769
-943.1191 -115.7906 1.6108
-943.0960 -115.7139 1.4062
-943.0719 -115.6012 1.4190
-943.1496 -115.9504 1.3962
-943.1094 -115.8325 1.2841
-943.0473 -115.8196 1.3302
-943.1711 -115.5791 1.4969
-943.1085 -115.6677 1.4687
-942.9987 -115.7632 1.4574
-943.0856 -115.6477 1.3352
-943.1391 -115.8249 1.4595
-943.0673 -115.6523 1.4313
-943.0738 -115.7995 1.4903
-943.0857 -115.7487 1.3567
-943.1203 -115.5277 1.5327
-942.9804 -115.6901 1.5545
-943.2497 -115.6797 1.4527
-943.1375 -115.6766 1.5315
-943.0610 -115.6570 1.3928
-943.1863 -115.6791 1.4177
-943.1774 -115.6647 1.3556
-943.1147 -115.7965 1.4002
-943.0670 -115.6804 1.5145
-943.1578 -115.6617 1.2729
-943.2968 -115.6830 1.3464
-943.0583 -115.5823 1.3102
-943.2514 -115.8352 1.4891
-943.1047 -115.7150 1.5829
-943.0794 -115.6592 1.6655
-942.9934 -115.6550 1.6114
-942.8524 -115.6889 1.4116
-943.0270 -115.6907 1.5001
-943.0515 -115.6970 1.4659
-943.1408 -115.8825 1.4488
-943.0700 -115.6339 1.5827
-942.9930 -115.9551 1.5840
-943.1268 -115.7162 1.3089
-943.1240 -115.7007 1.4235
-943.1001 -115.7451 1.4268
-943.1019 -115.9041 1.3839
-943.1666 -115.8076 1.5720
-943.2013 -115.7499 1.4697
-942.9282 -115.6612 1.5142
-943.1134 -115.6419 1.4425
-943.3251 -115.7312 1.5032
-943.1260 -115.8326 1.6167
-943.1377 -115.8312 1.2996
-943.1525 -115.6650 1.5297
-943.0997 -115.5647 1.4035
-942.9300 -115.5462 1.3812
-943.0624 -115.9521 1.5376
-943.0676 -115.6658 1.3458
-942.9844 -115.7166 1.3865
-943.1629 -115.6891 1.4948
-943.0135 -115.8134 1.5351
-942.9429 -115.6575 1.5515
-942.9726 -115.6989 1.2673
-943.1484 -115.8671 1.5435
-942.8810 -115.6341 1.3663
-943.1342 -115.7893 1.4540
-943.1481 -115.7456 1.5460
-943.1583 -115.8727 1.4312
-943.1488 -115.5310 1.5101
-943.1111 -115.7592 1.4769
-943.1898 -115.8099 1.4454
-943.1395 -115.6978 1.3544
-943.3289 -115.7310 1.4793
-943.2260 -115.7635 1.4290
-943.0011 -115.7782 1.3722
-943.1553 -115.8150 1.3996
-943.0314 -115.6461 1.5482
-943.0493 -115.7744 1.5864
-943.2497 -115.7936 1.3152
-942.8966 -115.6658 1.3338
-943.2491 -115.9074 1.5940
-943.0829 -115.7023 1.4420
-943.1993 -115.6665 1.3699
-943.1135 -115.8943 1.5418
-942.9586 -115.8656 1.4904
-943.0736 -115.8768 1.4383
-943.2867 -115.6113 1.3653
-943.1703 -115.7215 1.5798
-942.9769 -115.5936 1.5611
-942.9895 -115.9008 1.3360
-942.9093 -115.7477 1.4165
-943.1750 -115.8540 1.3537
-942.9275 -115.8079 1.5536
-943.0822 -115.7511 1.4901
-943.0912 -115.6485 1.5010
-942.9450 -115.6998 1.4918
-943.1258 -115.8000 1.4303
-943.2838 -115.8479 1.4376
-943.2638 -115.7572 1.3946
-943.0442 -115.6100 1.4246
-943.3431 -115.9783 1.6101
-942.8789 -115.7411 1.3332
-942.9766 -115.5236 1.3624
-943.2302 -115.6295 1.5842
-943.1414 -115.8245 1.3771
-943.2575 -115.6925 1.4957
-943.1390 -115.6528 1.5845
-943.0824 -115.5848 1.3116
-943.2138 -115.6157 1.3752
-943.1016 -115.4754 1.4560
-943.2193 -115.6522 1.4497
-942.9335 -115.6845 1.3843
-943.1839 -115.6792 1.3738
-943.3066 -115.8744 1.5517
-943.1146 -115.7241 1.4718
-942.9509 -115.8457 1.4132
-943.1633 -115.7774 1.5310
-942.9553 -115.8462 1.4770
-942.9712 -115.6578 1.5286
-943.2599 -115.7069 1.5294
-943.2156 -115.8329 1.3947
-943.0841 -115.7789 1.4457
-942.9700 -115.8237 1.4802
-943.1576 -115.7470 1.4290
-943.1910 -115.6855 1.3456
-943.0891 -115.8544 1.4499
-943.1155 -115.9026 1.4304
-943.0445 -115.7376 1.3849
-943.1344 -115.9458 1.5005
-943.0784 -115.7426 1.5956
-942.9662 -115.8903 1.3538
-943.1358 -115.8197 1.4690
-943.1755 -115.6054 1.4097
-943.0167 -115.6960 1.1918
-943.1664 -115.6688 1.5126
-942.9748 -115.8134 1.3723
-943.1165 -115.6416 1.5155
-943.1721 -115.6648 1.4835
-943.1370 -115.9033 1.3624
-943.0066 -115.7753 1.3268
-943.1259 -115.6006 1.6023
-943.0532 -115.6522 1.4350
-943.1024 -115.8421 1.5234
-943.0648 -115.4942 1.3989
-942.9276 -115.7071 1.4389
-943.0685 -115.8004 1.4323
-943.2921 -115.8710 1.4187
-942.9872 -115.6883 1.3001
-943.1163 -115.8547 1.5233
-942.9993 -115.6138 1.6788
-943.0679 -115.4853 1.7658
-942.9830 -115.7546 1.3231
-943.0580 -115.6235 1.5630
-942.9929 -115.6420 1.5924
-943.1870 -115.8775 1.4498
-943.1087 -115.5574 1.1818
-943.1171 -115.8022 1.4154
-943.1560 -115.7999 1.4613
-942.9280 -115.8289 1.4606
-943.0782 -115.7934 1.3562
-943.1829 -115.7127 1.5848
-942.9879 -115.6675 1.3625
-943.1006 -115.7380 1.3083
-943.0688 -115.6249 1.3702
-943.1620 -115.6065 1.2693
-942.8782 -115.8019 1.6396
-943.1513 -115.6987 1.2977
-943.0326 -115.6955 1.2692
-942.9002 -115.6339 1.2642
-943.1603 -115.8673 1.2897
-943.0375 -115.7469 1.5144
-942.9661 -115.5635 1.6533
-943.2241 -115.5753 1.4713
-943.1835 -115.7847 1.5275
-943.1137 -115.8462 1.3791
-942.8296 -115.8542 1.3867
-943.2779 -115.7654 1.5070
-943.0576 -115.7455 1.3650
-943.0215 -115.6438 1.6351
-943.1934 -115.7285 1.3069
-943.1642 -115.8048 1.5632
-943.2625 -115.8159 1.5470
-943.0793 -115.7626 1.4537
-943.1710 -115.8536 1.3618
-943.0745 -115.8918 1.4596
-942.9584 -115.8472 1.4271
-943.1115 -115.7851 1.3542
-942.9135 -115.8651 1.5074
-943.0016 -115.6185 1.5991
-943.0058 -115.6715 1.3549
-943.0793 -115.6226 1.5141
-943.0282 -115.7599 1.4992
-942.9418 -115.8604 1.5097
-943.0920 -115.8755 1.4621
-943.2207 -115.8129 1.4526
-943.1456 -115.5079 1.4912
-942.8067 -115.7504 1.4549
-943.1950 -115.8149 1.4676
-943.0806 -115.6609 1.4471
-943.0205 -115.6391 1.3256
-943.2709 -115.7820 1.4281
-943.1678 -115.6498 1.4910
-943.1482 -115.4928 1.5476
-943.0671 -115.4947 1.3296
-943.2182 -115.6538 1.4674
-943.1776 -115.6396 1.4550
-943.0980 -115.7687 1.3713
-943.0137 -115.7920 1.5414
-943.1008 -115.6295 1.3417
-943.1444 -115.8742 1.3051
-943.0561 -115.8202 1.3692
-943.1058 -115.8638 1.4653
-943.3037 -115.5565 1.4436
-943.1283 -115.7173 1.5787
-943.0806 -115.6957 1.3557
-943.0938 -115.8100 1.4761
-942.9718 -115.6567 1.3288
-942.8826 -115.7392 1.4764
-943.1569 -115.7399 1.2308
-943.0353 -115.6397 1.2369
-943.2349 -115.6488 1.5512
-943.0014 -115.6902 1.4695
-943.2288 -115.8841 1.5232
-943.0721 -115.6573 1.2725
-943.1395 -115.6701 1.4127
-943.2122 -115.7201 1.4717
-943.1843 -115.6667 1.3979
-943.2299 -115.7294 1.4339
-942.9594 -115.6850 1.2643
-943.0218 -115.6817 1.2352
-943.0423 -115.6954 1.5163
-943.3295 -115.7011 1.3573
-943.1763 -115.6888 1.4351
-943.1085 -115.6829 1.4657
-943.1511 -115.7862 1.4176
-943.3916 -115.8287 1.4661
-943.1216 -115.7558 1.3901
-942.9991 -115.6271 1.5674
-943.1487 -115.7849 1.5843
-943.0092 -115.6864 1.3538
-943.0256 -115.8525 1.4746
-943.0906 -115.8793 1.3614
-943.0206 -115.5434 1.5042
-943.1214 -115.5922 1.4673
-943.1461 -115.9225 1.3679
-942.8837 -115.6354 1.4029
-942.9008 -115.6564 1.5196
-942.9749 -115.7551 1.5746
-943.0747 -115.7072 1.3834
-943.2329 -115.7595 1.4784
-942.9965 -115.8368 1.4187
-943.0234 -115.8334 1.3989
-942.9885 -115.6287 1.2511
-943.2295 -115.7459 1.5344
-942.9814 -115.7330 1.5293
-943.1132 -115.7563 1.4100
-943.2458 -115.5609 1.5584
-942.9748 -115.8773 1.3967
-943.1516 -115.7597 1.7630
-943.1322 -115.6511 1.4679
-942.8282 -115.9367 1.4196
-943.1246 -115.6041 1.2777
-943.0687 -115.9118 1.3473
-943.1594 -115.6533 1.4740
-943.1113 -115.7817 1.6043
-943.0262 -115.8203 1.5063
-943.0691 -115.6473 1.4975
-943.2394 -115.8232 1.4583
-943.1041 -115.6091 1.4286
-942.9876 -115.8147 1.5603
-943.1416 -115.6779 1.3951
-943.0766 -115.6731 1.2773
-943.0832 -115.6216 1.3899
-942.9393 -115.8423 1.6796
-943.1964 -115.7771 1.1649
-943.0403 -115.6795 1.4711
-943.2251 -115.4606 1.5293
-943.2780 -115.5852 1.5253
-943.2502 -115.7500 1.4793
-943.1274 -115.7595 1.3652
-943.2588 -115.6105 1.4251
-942.9695 -115.7708 1.5936
-943.0047 -115.6050 1.4089
-943.0163 -115.8167 1.4633
-943.0427 -115.7354 1.3858
-943.2408 -115.9043 1.5285
-943.0407 -115.7691 1.4267
-943.0522 -115.5967 1.4973
-943.1563 -115.7963 1.4714
-942.9955 -115.7685 1.7008
-943.1803 -115.7304 1.5588
-943.2333 -115.6988 1.3679
-943.0996 -115.7345 1.5848
-943.2903 -115.5605 1.3669
-943.2847 -115.5097 1.5863
-942.9727 -115.8027 1.5368
-943.1345 -115.5742 1.4991
-943.0395 -115.8658 1.4544
-943.2352 -115.6502 1.4555
-942.9577 -115.7168 1.5251
-942.9742 -115.7975 1.4468
-943.0958 -115.6698 1.3335
-943.1217 -115.9116 1.4329
-942.9428 -115.6051 1.4869
-943.0074 -115.6370 1.5201
-943.2107 -115.8621 1.6152
-943.1784 -115.7591 1.2668
-942.9154 -115.7431 1.4791
-943.1421 -115.8920 1.5884
-943.1059 -115.7407 1.3992
-943.0431 -115.6589 1.5061
-942.8647 -115.6911 1.5642
-943.1826 -115.8346 1.4863
-942.9710 -115.6220 1.3561
-943.0810 -115.5693 1.3120
-942.9750 -115.5760 1.4683
-943.1135 -115.8201 1.4922
-943.0998 -115.7104 1.4787
-943.0891 -115.6631 1.3787
-942.8955 -115.7144 1.4428
-943.1603 -115.8378 1.5007
-943.1193 -115.5837 1.5608
-943.1181 -115.7849 1.4802
-943.0557 -115.8165 1.4319
-943.1019 -115.8263 1.3966
-943.1927 -115.6056 1.6626
-943.0997 -115.7937 1.4313
-942.9997 -115.8550 1.4927
-943.0192 -115.7463 1.5592
-943.0887 -115.9132 1.5250
-943.2582 -115.4937 1.6323
-942.9572 -115.6666 1.4751
-943.4215 -115.7672 1.4743
-943.0649 -115.6540 1.3283
-942.9691 -115.6614 1.4695
-942.9337 -115.6982 1.5247
-943.1208 -115.7153 1.5633
-943.1838 -115.8255 1.4793
-943.1957 -115.8545 1.3691
-943.2345 -115.7059 1.4487
-942.9234 -115.7827 1.3503
-943.1955 -115.7592 1.3906
-943.1345 -115.6306 1.4496
-943.0315 -115.8071 1.5143
-942.9777 -115.7999 1.5016
-943.1637 -115.7451 1.5722
-943.0840 -115.8705 1.5609
-943.1360 -115.7302 1.4187
-942.9084 -115.8899 1.5928
-943.2536 -115.7861 1.3969
-943.0048 -115.8470 1.4356
-943.1084 -115.6151 1.5471
-943.2134 -115.7223 1.4221
-943.1643 -115.6864 1.5514
-942.9813 -115.7734 1.4574
-943.0462 -115.8260 1.3815
-943.1673 -115.7685 1.4610
-943.0760 -115.4976 1.3846
-943.2225 -115.8001 1.4560
-943.1852 -115.6891 1.5066
-942.9758 -115.6985 1.4176
-942.9841 -116.0305 1.4498
-943.1824 -115.8073 1.3736
-943.0519 -115.8268 1.5233
-943.3270 -115.6875 1.3245
-943.2222 -115.8258 1.5006
-943.1646 -115.7177 1.3696
-943.2815 -116.0120 1.4006
-942.9380 -115.7674 1.4178
-943.0779 -115.7766 1.4288
-943.0287 -115.5665 1.2486
-943.1040 -115.6740 1.2398
-942.8533 -115.7211 1.6388
-943.0376 -115.6790 1.4575
-943.0822 -115.8642 1.4439
-943.0062 -115.6920 1.6034
-943.0657 -115.6854 1.3262
-943.1335 -115.8690 1.5046
-943.2210 -115.6474 1.4716
-943.1342 -115.8875 1.3007
-943.1116 -115.7879 1.4592
-943.0271 -115.7108 1.6097
-943.0160 -115.7813 1.5548
-943.1896 -115.6322 1.4688
-943.0474 -115.6680 1.2469
-943.2911 -115.7258 1.5309
-943.1346 -115.6368 1.4932
-943.0597 -115.7458 1.4946
-943.0333 -115.7831 1.4445
-943.1332 -115.6074 1.5494
-942.9922 -115.8224 1.5736
-943.1113 -115.6662 1.4474
-942.8592 -115.6937 1.3708
-943.2051 -115.5100 1.4088
-943.1368 -115.7935 1.4045
-943.1263 -115.6573 1.3585
-943.2532 -115.6217 1.3872
-943.1349 -115.7397 1.4991
-943.0652 -115.8389 1.3561
-942.9911 -115.6778 1.3899
-943.0144 -115.5848 1.3806
-943.1648 -115.8575 1.5914
-943.2265 -115.6197 1.3327
-943.1781 -115.6004 1.3937
-943.2528 -115.7848 1.4310
-942.9305 -115.6525 1.3792
-943.0733 -115.5110 1.5232
-943.1276 -115.6761 1.5136
-942.9975 -115.7291 1.4065
-943.2195 -115.8525 1.4904
-943.1636 -115.5009 1.4321
-943.0764 -115.6293 1.4691
-943.2225 -115.7629 1.2460
-943.0400 -115.7301 1.4478
-943.1018 -115.7409 1.4885
-942.9863 -115.6632 1.3965
-942.9760 -115.7697 1.4808
-943.1248 -115.7482 1.5039
-943.1744 -115.5994 1.3769
-943.2176 -115.8304 1.5605
-943.1754 -115.7957 1.5110
-943.0705 -115.7962 1.4778
-942.7922 -115.6972 1.4572
-943.1963 -115.6821 1.3066
